City,State,Start_Year,End_Year,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Annual_Max
BAKERSFIELD,CA,193710,202012,82,87,94,101,107,114,115,112,112,103,94,83,115
BISHOP,CA,189502,202012,77,81,87,94,104,109,110,108,107,97,89,81,110
BLUE_CANYON,CA,194312,202012,76,73,72,82,88,92,95,97,93,88,78,75,97
FRESNO,CA,194801,202012,78,83,91,100,107,110,113,112,111,102,90,77,113
LONG_BEACH,CA,194901,202012,93,92,98,105,104,109,109,105,111,111,101,92,111
LOS_ANGELES,CA,190604,202012,95,95,98,106,102,112,108,105,113,108,100,92,113
REDDING,CA,198609,202012,80,83,88,96,106,117,118,115,116,106,89,78,118
SACRAMENTO,CA,194112,202012,76,78,88,95,105,115,114,112,109,104,87,74,115
SAN_DIEGO,CA,193907,202012,88,90,93,98,97,101,99,98,111,107,100,88,111
SAN_FRANCISCO,CA,192101,202012,79,81,87,94,97,103,99,98,106,102,86,76,106
SANTA_BARBARA,CA,194101,202012,86,87,94,96,101,109,109,105,104,103,97,89,109
SANTA_MARIA,CA,194801,202012,89,89,95,103,105,110,104,104,106,108,96,90,110
