,Incheon,Seoul,Busan,Daegu,Daejeon,Gwangju,Suwon-si,Ulsan,Jeonju,Cheongju-si,Changwon,Jeju-si,Chuncheon,Hongsung,Muan
Incheon,,27,335,244,141,257,33,316,186,115,304,439,102,95,275
Seoul,27,,330,237,144,268,31,307,195,113,301,453,75,111,290
Busan,335,330,,95,199,193,304,54,189,221,35,291,330,271,233
Daegu,244,237,95,,117,171,212,75,130,130,72,324,236,191,215
Daejeon,141,144,199,117,,137,114,192,61,36,167,323,175,74,171
Gwangju,257,268,193,171,137,,238,222,77,173,161,186,311,162,44
Suwon-si,33,31,304,212,114,238,,284,164,84,274,423,91,83,260
Ulsan,316,307,54,75,192,222,284,,198,205,67,341,296,266,265
Jeonju,186,195,189,130,61,77,164,198,,96,154,263,234,97,111
Cheongju-si,115,113,221,130,36,173,84,205,96,,190,359,139,74,205
Changwon,304,301,35,72,167,161,274,67,154,190,,275,306,237,202
Jeju-si,439,453,291,324,323,186,423,341,263,359,275,,498,344,165
Chuncheon,102,75,330,236,175,311,91,296,234,139,306,498,,170,340
Hongsung,95,111,271,191,74,162,83,266,97,74,237,344,170,,180
Muan,275,290,233,215,171,44,260,265,111,205,202,165,340,180,
